time,router,average_response_ms,percent_packet_loss,count,state_ok,cpu_percent,mem_percent,fault_ping,fault_ospf,fault_bgp,fault_cpu,fault_mem,fault
2026-07-17 00:26:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:27:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:27:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:27:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:27:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:28:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:28:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:28:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:28:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:29:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:29:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:29:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:29:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:30:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:30:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:30:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:30:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:31:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:31:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:31:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:31:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:32:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:32:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
