time,url,average_response_ms,percent_packet_loss,packets_transmitted,packets_received,router,metric_type
2026-07-24 13:05:02+00:00,172.20.20.3,0.117,0,3,3,HO-Chennai,path_health
2026-07-24 13:05:03+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:05:12+00:00,172.20.20.3,0.116,0,3,3,HO-Chennai,path_health
2026-07-24 13:05:12+00:00,172.20.20.4,0.111,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:05:12+00:00,172.20.20.5,0.093,0,3,3,BR-Koramangala,path_health
2026-07-24 13:05:13+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:05:22+00:00,172.20.20.5,0.079,0,3,3,BR-Koramangala,path_health
2026-07-24 13:05:22+00:00,172.20.20.4,0.116,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:05:22+00:00,172.20.20.3,0.113,0,3,3,HO-Chennai,path_health
2026-07-24 13:05:23+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:05:32+00:00,172.20.20.3,0.124,0,3,3,HO-Chennai,path_health
2026-07-24 13:05:32+00:00,172.20.20.4,0.142,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:05:32+00:00,172.20.20.5,0.134,0,3,3,BR-Koramangala,path_health
2026-07-24 13:05:33+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
