time,router,count,metric_type
2026-07-24 10:32:30+00:00,br-whitefield,0,routing
2026-07-24 10:32:30+00:00,ho-chennai,0,routing
2026-07-24 10:33:00+00:00,br-whitefield,0,routing
2026-07-24 10:33:00+00:00,ho-chennai,0,routing
2026-07-24 10:33:00+00:00,br-koramangala,0,routing
2026-07-24 10:33:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:33:30+00:00,br-koramangala,0,routing
2026-07-24 10:33:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:33:30+00:00,br-whitefield,0,routing
2026-07-24 10:33:30+00:00,ho-chennai,0,routing
2026-07-24 10:34:00+00:00,br-whitefield,0,routing
2026-07-24 10:34:00+00:00,ho-chennai,0,routing
2026-07-24 10:34:00+00:00,br-koramangala,0,routing
2026-07-24 10:34:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:34:30+00:00,br-koramangala,0,routing
2026-07-24 10:34:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:34:30+00:00,br-whitefield,0,routing
2026-07-24 10:34:30+00:00,ho-chennai,0,routing
2026-07-24 10:35:00+00:00,br-whitefield,0,routing
2026-07-24 10:35:00+00:00,ho-chennai,0,routing
2026-07-24 10:35:00+00:00,br-koramangala,0,routing
2026-07-24 10:35:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:35:30+00:00,br-koramangala,0,routing
2026-07-24 10:35:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:35:30+00:00,br-whitefield,0,routing
2026-07-24 10:35:30+00:00,ho-chennai,0,routing
2026-07-24 10:36:00+00:00,br-whitefield,0,routing
2026-07-24 10:36:00+00:00,ho-chennai,0,routing
2026-07-24 10:36:00+00:00,br-koramangala,0,routing
2026-07-24 10:36:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:36:30+00:00,br-koramangala,0,routing
2026-07-24 10:36:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:36:30+00:00,br-whitefield,0,routing
2026-07-24 10:36:30+00:00,ho-chennai,0,routing
2026-07-24 10:37:00+00:00,br-whitefield,0,routing
2026-07-24 10:37:00+00:00,ho-chennai,0,routing
2026-07-24 10:37:00+00:00,br-koramangala,0,routing
2026-07-24 10:37:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:37:30+00:00,br-koramangala,0,routing
2026-07-24 10:37:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:37:30+00:00,br-whitefield,0,routing
2026-07-24 10:37:30+00:00,ho-chennai,0,routing
2026-07-24 10:38:00+00:00,br-whitefield,0,routing
2026-07-24 10:38:00+00:00,ho-chennai,0,routing
2026-07-24 10:38:00+00:00,br-koramangala,0,routing
2026-07-24 10:38:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:38:30+00:00,br-koramangala,0,routing
2026-07-24 10:38:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:38:30+00:00,br-whitefield,0,routing
2026-07-24 10:38:30+00:00,ho-chennai,0,routing
2026-07-24 10:39:00+00:00,br-whitefield,0,routing
2026-07-24 10:39:00+00:00,ho-chennai,0,routing
2026-07-24 10:39:00+00:00,br-koramangala,0,routing
2026-07-24 10:39:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:39:30+00:00,br-koramangala,0,routing
2026-07-24 10:39:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:39:30+00:00,br-whitefield,0,routing
2026-07-24 10:39:30+00:00,ho-chennai,0,routing
2026-07-24 10:40:00+00:00,br-whitefield,0,routing
2026-07-24 10:40:00+00:00,ho-chennai,0,routing
2026-07-24 10:40:00+00:00,br-koramangala,0,routing
2026-07-24 10:40:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:40:30+00:00,br-koramangala,0,routing
2026-07-24 10:40:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:40:30+00:00,br-whitefield,0,routing
2026-07-24 10:40:30+00:00,ho-chennai,0,routing
2026-07-24 10:41:00+00:00,br-whitefield,0,routing
2026-07-24 10:41:00+00:00,ho-chennai,0,routing
2026-07-24 10:41:00+00:00,br-koramangala,0,routing
2026-07-24 10:41:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:41:30+00:00,br-koramangala,0,routing
2026-07-24 10:41:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:41:30+00:00,br-whitefield,0,routing
2026-07-24 10:41:30+00:00,ho-chennai,0,routing
2026-07-24 10:42:00+00:00,br-whitefield,0,routing
2026-07-24 10:42:00+00:00,ho-chennai,0,routing
2026-07-24 10:42:00+00:00,br-koramangala,0,routing
2026-07-24 10:42:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:42:30+00:00,br-koramangala,0,routing
2026-07-24 10:42:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:42:30+00:00,br-whitefield,0,routing
2026-07-24 10:42:30+00:00,ho-chennai,0,routing
2026-07-24 10:43:00+00:00,br-whitefield,0,routing
2026-07-24 10:43:00+00:00,ho-chennai,0,routing
2026-07-24 10:43:00+00:00,br-koramangala,0,routing
2026-07-24 10:43:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:43:30+00:00,br-koramangala,0,routing
2026-07-24 10:43:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:43:30+00:00,br-whitefield,0,routing
2026-07-24 10:43:30+00:00,ho-chennai,0,routing
2026-07-24 10:44:00+00:00,br-whitefield,0,routing
2026-07-24 10:44:00+00:00,ho-chennai,0,routing
2026-07-24 10:44:00+00:00,br-koramangala,0,routing
2026-07-24 10:44:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:44:30+00:00,br-koramangala,0,routing
2026-07-24 10:44:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:44:30+00:00,br-whitefield,0,routing
2026-07-24 10:44:30+00:00,ho-chennai,0,routing
2026-07-24 10:45:00+00:00,br-whitefield,0,routing
2026-07-24 10:45:00+00:00,ho-chennai,0,routing
2026-07-24 10:45:00+00:00,br-koramangala,0,routing
2026-07-24 10:45:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:45:30+00:00,br-koramangala,0,routing
2026-07-24 10:45:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:45:30+00:00,br-whitefield,0,routing
